2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.AIOUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.07996","close":"0.07965","high":"0.08012","low":"0.07963","volume":"88160","turnover":"7038.401","confirm":false,"timestamp":1755710204886}],"ts":1755710204886,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.AIOUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.07996","close":"0.07965","high":"0.08012","low":"0.07963","volume":"88160","turnover":"7038.401","confirm":false,"timestamp":1755710204886}],"ts":1755710204886,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.AIOUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"0.07992","close":"0.07965","high":"0.07992","low":"0.07963","volume":"35830","turnover":"2856.4952","confirm":false,"timestamp":1755710204886}],"ts":1755710204886,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.ZRCUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"0.02894","close":"0.02895","high":"0.02896","low":"0.02894","volume":"1606","turnover":"46.50073","confirm":false,"timestamp":1755710204905}],"ts":1755710204905,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.ZRCUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.02892","close":"0.02895","high":"0.02896","low":"0.02892","volume":"10674","turnover":"308.84641","confirm":false,"timestamp":1755710204905}],"ts":1755710204905,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.ZRCUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.02892","close":"0.02895","high":"0.02896","low":"0.02892","volume":"10674","turnover":"308.84641","confirm":false,"timestamp":1755710204906}],"ts":1755710204906,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.MASAUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"0.01508","close":"0.0151","high":"0.01511","low":"0.01508","volume":"6666","turnover":"100.65161","confirm":false,"timestamp":1755710204921}],"ts":1755710204921,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.MASAUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.01508","close":"0.0151","high":"0.01511","low":"0.01507","volume":"7757","turnover":"117.10344","confirm":false,"timestamp":1755710204921}],"ts":1755710204921,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.MASAUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.01508","close":"0.0151","high":"0.01511","low":"0.01507","volume":"7757","turnover":"117.10344","confirm":false,"timestamp":1755710204922}],"ts":1755710204922,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.1000000PEIPEIUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.03736","close":"0.03734","high":"0.03741","low":"0.0372","volume":"83197","turnover":"3099.22124","confirm":false,"timestamp":1755710204935}],"ts":1755710204935,"type":"snapshot"}
